GEOGRAPHY_LEVEL,DATA_Level,UUID,FY_ENDING,CASSR,GEOGRAPHY_CODE,DH_GEOGRAPHY_NAME,REGION_GO_CODE,GEOGRAPHY_NAME,DimensionGroup,CareType,FinanceType,FinanceDescription,AgeBand,PrimarySupportReason,SupportSetting,Purpose,CarerSupportType,DataType,ActivityProvision,ComparativeTotals,DataSource,ValueType,ITEMVALUE
Local Authority,Gross Current Expenditure,8110115,2022,622,E06000034,Thurrock,E12000006,East of England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,59
Local Authority,Gross Current Expenditure,8110115,2022,625,E06000055,Bedford,E12000006,East of England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,505
Local Authority,Gross Current Expenditure,8110115,2022,706,E09000019,Islington,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,710
Local Authority,Gross Current Expenditure,8110115,2022,709,E09000023,Lewisham,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,3317
Local Authority,Gross Current Expenditure,8110115,2022,714,E09000001,City of London,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,0
Local Authority,Gross Current Expenditure,8110115,2022,724,E09000014,Haringey,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,583
Local Authority,Gross Current Expenditure,8110115,2022,725,E09000015,Harrow,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,594
Local Authority,Gross Current Expenditure,8110115,2022,729,E09000021,Kingston upon Thames,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,330
Local Authority,Gross Current Expenditure,8110115,2022,730,E09000024,Merton,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,462
Local Authority,Gross Current Expenditure,8110115,2022,731,E09000025,Newham,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1102
Local Authority,Gross Current Expenditure,8110115,2022,733,E09000027,Richmond upon Thames,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,102
Local Authority,Gross Current Expenditure,8110115,2022,738,E06000058,Bournemouth Christchurch and Poole,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,744
Local Authority,Gross Current Expenditure,8110115,2022,812,E10000014,Hampshire,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,5543
Local Authority,Gross Current Expenditure,8110115,2022,905,E10000027,Somerset,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1459
Local Authority,Gross Current Expenditure,8110115,2022,908,E06000022,Bath and North East Somerset,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,728
Local Authority,Gross Current Expenditure,8110115,2022,916,E06000060,Buckinghamshire,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1866
Local Authority,Gross Current Expenditure,8110115,2022,Z9D4Z,E06000061,North Northamptonshire,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,926
Region,Gross Current Expenditure,8110115,2022,,,,E12000006,East of England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,14967
