GEOGRAPHY_LEVEL,DATA_Level,UUID,FY_ENDING,CASSR,GEOGRAPHY_CODE,DH_GEOGRAPHY_NAME,REGION_GO_CODE,GEOGRAPHY_NAME,DimensionGroup,CareType,FinanceType,FinanceDescription,AgeBand,PrimarySupportReason,SupportSetting,Purpose,CarerSupportType,DataType,ActivityProvision,ComparativeTotals,DataSource,ValueType,ITEMVALUE
Local Authority,Gross Current Expenditure,8122515,2023,415,E06000019,"Herefordshire, County of",E12000005,West Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,168
Local Authority,Gross Current Expenditure,8122515,2023,624,E06000031,Peterborough,E12000006,East of England,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,660
Local Authority,Gross Current Expenditure,8122515,2023,413,E10000028,Staffordshire,E12000005,West Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,0
Local Authority,Gross Current Expenditure,8122515,2023,326,E06000049,Cheshire East,E12000002,North West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1417
Local Authority,Gross Current Expenditure,8122515,2023,506,E10000007,Derbyshire,E12000004,East Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1956
Local Authority,Gross Current Expenditure,8122515,2023,703,E09000011,Greenwich,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1638
Local Authority,Gross Current Expenditure,8122515,2023,414,E06000021,Stoke-on-Trent,E12000005,West Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,2088
Local Authority,Gross Current Expenditure,8122515,2023,407,E08000026,Coventry,E12000005,West Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1533
Local Authority,Gross Current Expenditure,8122515,2023,507,E06000015,Derby,E12000004,East Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,505
Local Authority,Gross Current Expenditure,8122515,2023,705,E09000013,Hammersmith and Fulham,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,7
Local Authority,Gross Current Expenditure,8122515,2023,417,E06000051,Shropshire,E12000005,West Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,919
Local Authority,Gross Current Expenditure,8122515,2023,416,E10000034,Worcestershire,E12000005,West Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,2560
Local Authority,Gross Current Expenditure,8122515,2023,611,E06000032,Luton,E12000006,East of England,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,95
Local Authority,Gross Current Expenditure,8122515,2023,707,E09000020,Kensington and Chelsea,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,0
Local Authority,Gross Current Expenditure,8122515,2023,509,E06000016,Leicester,E12000004,East Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,455
Local Authority,Gross Current Expenditure,8122515,2023,508,E10000018,Leicestershire,E12000004,East Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1008
Local Authority,Gross Current Expenditure,8122515,2023,615,E06000037,West Berkshire,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1724
Local Authority,Gross Current Expenditure,8122515,2023,709,E09000023,Lewisham,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,369
Local Authority,Gross Current Expenditure,8122515,2023,607,E10000020,Norfolk,E12000006,East of England,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,2030
Local Authority,Gross Current Expenditure,8122515,2023,510,E06000017,Rutland,E12000004,East Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,31
Local Authority,Gross Current Expenditure,8122515,2023,620,E10000012,Essex,E12000006,East of England,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,12101
Local Authority,Gross Current Expenditure,8122515,2023,713,E09000033,Westminster,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,166
Local Authority,Gross Current Expenditure,8122515,2023,608,E10000025,Oxfordshire,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,2912
Local Authority,Gross Current Expenditure,8122515,2023,617,E06000039,Slough,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,0
Local Authority,Gross Current Expenditure,8122515,2023,704,E09000012,Hackney,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,[x]
Local Authority,Gross Current Expenditure,8122515,2023,723,E09000010,Enfield,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,146
Local Authority,Gross Current Expenditure,8122515,2023,614,E06000036,Bracknell Forest,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,776
Local Authority,Gross Current Expenditure,8122515,2023,618,E06000040,Windsor and Maidenhead,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,0
Local Authority,Gross Current Expenditure,8122515,2023,706,E09000019,Islington,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,-430
Local Authority,Gross Current Expenditure,8122515,2023,726,E09000016,Havering,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,925
Local Authority,Gross Current Expenditure,8122515,2023,616,E06000038,Reading,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,115
Local Authority,Gross Current Expenditure,8122515,2023,625,E06000055,Bedford,E12000006,East of England,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,364
Local Authority,Gross Current Expenditure,8122515,2023,708,E09000022,Lambeth,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,906
Local Authority,Gross Current Expenditure,8122515,2023,727,E09000017,Hillingdon,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,[x]
Local Authority,Gross Current Expenditure,8122515,2023,621,E06000033,Southend-on-Sea,E12000006,East of England,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,0
Local Authority,Gross Current Expenditure,8122515,2023,626,E06000056,Central Bedfordshire,E12000006,East of England,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,774
Local Authority,Gross Current Expenditure,8122515,2023,714,E09000001,City of London,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,58
Local Authority,Gross Current Expenditure,8122515,2023,728,E09000018,Hounslow,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,330
Local Authority,Gross Current Expenditure,8122515,2023,623,E10000003,Cambridgeshire,E12000006,East of England,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1192
Local Authority,Gross Current Expenditure,8122515,2023,718,E09000004,Bexley,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,533
Local Authority,Gross Current Expenditure,8122515,2023,719,E09000005,Brent,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,326
Local Authority,Gross Current Expenditure,8122515,2023,815,E10000011,East Sussex,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,2342
Local Authority,Gross Current Expenditure,8122515,2023,702,E09000007,Camden,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,488
Local Authority,Gross Current Expenditure,8122515,2023,724,E09000014,Haringey,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,958
Local Authority,Gross Current Expenditure,8122515,2023,721,E09000008,Croydon,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,299
Local Authority,Gross Current Expenditure,8122515,2023,821,E06000035,Medway,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,4273
Local Authority,Gross Current Expenditure,8122515,2023,710,E09000028,Southwark,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,641
Local Authority,Gross Current Expenditure,8122515,2023,725,E09000015,Harrow,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,497
Local Authority,Gross Current Expenditure,8122515,2023,729,E09000021,Kingston upon Thames,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,325
Local Authority,Gross Current Expenditure,8122515,2023,902,E06000052,Cornwall,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,515
Local Authority,Gross Current Expenditure,8122515,2023,711,E09000030,Tower Hamlets,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,[x]
Local Authority,Gross Current Expenditure,8122515,2023,732,E09000026,Redbridge,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,337
Local Authority,Gross Current Expenditure,8122515,2023,733,E09000027,Richmond upon Thames,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,347
Local Authority,Gross Current Expenditure,8122515,2023,906,E06000053,Isles of Scilly,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,0
Local Authority,Gross Current Expenditure,8122515,2023,712,E09000032,Wandsworth,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,352
Local Authority,Gross Current Expenditure,8122515,2023,735,E09000031,Waltham Forest,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,396
Local Authority,Gross Current Expenditure,8122515,2023,809,E06000059,Dorset,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,2196
Local Authority,Gross Current Expenditure,8122515,2023,908,E06000022,Bath and North East Somerset,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,434
Local Authority,Gross Current Expenditure,8122515,2023,716,E09000002,Barking and Dagenham,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,0
Local Authority,Gross Current Expenditure,8122515,2023,738,E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1465
Local Authority,Gross Current Expenditure,8122515,2023,813,E06000044,Portsmouth,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,0
Local Authority,Gross Current Expenditure,8122515,2023,912,E10000008,Devon,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,3071
Local Authority,Gross Current Expenditure,8122515,2023,717,E09000003,Barnet,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,760
Local Authority,Gross Current Expenditure,8122515,2023,805,E10000030,Surrey,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,2966
Local Authority,Gross Current Expenditure,8122515,2023,816,E06000043,Brighton and Hove,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,808
Local Authority,Gross Current Expenditure,8122515,2023,916,E06000060,Buckinghamshire,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,810
Local Authority,Gross Current Expenditure,8122515,2023,720,E09000006,Bromley,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,492
Local Authority,Gross Current Expenditure,8122515,2023,807,E10000032,West Sussex,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,2349
Local Authority,Gross Current Expenditure,8122515,2023,817,E06000054,Wiltshire,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1410
Region,Gross Current Expenditure,8122515,2023,,,,E12000002,North West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,18867
Local Authority,Gross Current Expenditure,8122515,2023,722,E09000009,Ealing,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,684
Local Authority,Gross Current Expenditure,8122515,2023,812,E10000014,Hampshire,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,18251
Local Authority,Gross Current Expenditure,8122515,2023,913,E06000026,Plymouth,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,284
Region,Gross Current Expenditure,8122515,2023,,,,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,18805
Local Authority,Gross Current Expenditure,8122515,2023,730,E09000024,Merton,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,283
Local Authority,Gross Current Expenditure,8122515,2023,910,E06000024,North Somerset,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,377
Local Authority,Gross Current Expenditure,8122515,2023,914,E06000027,Torbay,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,311
Local Authority,Gross Current Expenditure,8122515,2023,911,E06000025,South Gloucestershire,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,69
Local Authority,Gross Current Expenditure,8122515,2023,731,E09000025,Newham,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,89
Local Authority,Gross Current Expenditure,8122515,2023,U6Q5Z,E06000062,West Northamptonshire,E12000004,East Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1370
Region,Gross Current Expenditure,8122515,2023,,,,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,13857
Local Authority,Gross Current Expenditure,8122515,2023,Z9D4Z,E06000061,North Northamptonshire,E12000004,East Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,2028
Local Authority,Gross Current Expenditure,8122515,2023,734,E09000029,Sutton,E12000007,London,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,981
Region,Gross Current Expenditure,8122515,2023,,,,E12000006,East of England,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,22017
Region,Gross Current Expenditure,8122515,2023,,,,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,41366
Local Authority,Gross Current Expenditure,8122515,2023,803,E06000046,Isle of Wight,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,325
Local Authority,Gross Current Expenditure,8122515,2023,814,E06000045,Southampton,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,934
Local Authority,Gross Current Expenditure,8122515,2023,819,E06000030,Swindon,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,329
Local Authority,Gross Current Expenditure,8122515,2023,820,E10000016,Kent,E12000008,South East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1492
Local Authority,Gross Current Expenditure,8122515,2023,904,E10000013,Gloucestershire,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,502
Local Authority,Gross Current Expenditure,8122515,2023,905,E10000027,Somerset,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,0
Local Authority,Gross Current Expenditure,8122515,2023,909,E06000023,"Bristol, City of",E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,1598
Region,Gross Current Expenditure,8122515,2023,,,,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,6759
Region,Gross Current Expenditure,8122515,2023,,,,E12000004,East Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,10143
Region,Gross Current Expenditure,8122515,2023,,,,E12000005,West Midlands,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,14282
Region,Gross Current Expenditure,8122515,2023,,,,E12000009,South West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Home Care,,,,,,,,12562
Local Authority,Gross Current Expenditure,8122615,2023,102,E10000006,Cumbria,E12000002,North West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,106,E08000037,Gateshead,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
England,Gross Current Expenditure,8122615,2023,,,,E92000001,England,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,8637
Local Authority,Gross Current Expenditure,8122615,2023,109,E08000023,South Tyneside,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,205,E08000017,Doncaster,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,107,E08000021,Newcastle upon Tyne,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,104,E06000057,Northumberland,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,110,E08000024,Sunderland,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,2
Local Authority,Gross Current Expenditure,8122615,2023,207,E08000019,Sheffield,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,117
Local Authority,Gross Current Expenditure,8122615,2023,108,E08000022,North Tyneside,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,111,E06000001,Hartlepool,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,112,E06000002,Middlesbrough,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,10
Local Authority,Gross Current Expenditure,8122615,2023,211,E08000034,Kirklees,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,114,E06000004,Stockton-on-Tees,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,113,E06000003,Redcar and Cleveland,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,461
Local Authority,Gross Current Expenditure,8122615,2023,204,E08000016,Barnsley,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,926
Local Authority,Gross Current Expenditure,8122615,2023,213,E08000036,Wakefield,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,116,E06000047,County Durham,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,117,E06000005,Darlington,E12000001,North East,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,209,E08000032,Bradford,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,306,E08000003,Manchester,E12000002,North West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,15
Local Authority,Gross Current Expenditure,8122615,2023,206,E08000018,Rotherham,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,219,E06000014,York,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,212,E08000035,Leeds,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,669
Local Authority,Gross Current Expenditure,8122615,2023,308,E08000005,Rochdale,E12000002,North West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,20
Local Authority,Gross Current Expenditure,8122615,2023,210,E08000033,Calderdale,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,304,E08000001,Bolton,E12000002,North West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,214,E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,0
Local Authority,Gross Current Expenditure,8122615,2023,310,E08000007,Stockport,E12000002,North West,Expenditure,Long Term Care,9,,65 and Over,Assistive Equipment and TechnologyInformation and Early Intervention,Community: Supported Living,,,,,,,,171
